"","year","gridID","totalPresence","totalAbsense","modelPresence","modelAbsense","Accuracy","Kappa","Sensitivity","Specificity"
"60","2016","X12-709",0,81,0,81,1,NA,NA,1
"61","2016","X12-727",0,27,0,27,1,NA,NA,1
"62","2016","X12-83",34,52,36,50,0.976744186046512,0.951847704367301,0.944444444444444,1
"63","2016","X12-91",35,41,33,43,0.947368421052632,0.893631910426872,0.96969696969697,0.930232558139535
"64","2016","X12-99",50,50,48,52,0.98,0.96,1,0.961538461538462
"65","2020","X12-115",50,35,47,38,0.964705882352941,0.928067700987306,1,0.921052631578947
"66","2020","X12-131",25,20,24,21,0.977777777777778,0.955223880597015,1,0.952380952380952
"67","2020","X12-150",70,83,69,84,0.941176470588235,0.881364693719307,0.942028985507246,0.94047619047619
"68","2020","X12-183",58,57,49,66,0.88695652173913,0.774203292553995,0.959183673469388,0.833333333333333
"69","2020","X12-207",66,74,61,79,0.964285714285714,0.928042763157895,1,0.936708860759494
"70","2020","X12-278",68,69,40,97,0.751824817518248,0.502137665669089,0.925,0.680412371134021
"71","2020","X12-281",61,7,43,25,0.735294117647059,0.329682365826944,1,0.28
"72","2020","X12-297",0,77,11,66,0.857142857142857,0,0,1
"73","2020","X12-440",96,50,96,94,0.980392156862745,0.960769230769231,0.980769230769231,0.98
"74","2020","X12-307",0,90,0,90,1,NA,NA,1
"75","2020","X12-318",75,76,75,76,0.986754966887417,0.973508771929825,0.986666666666667,0.986842105263158
"76","2020","X12-32",50,74,49,75,0.991935483870968,0.983188720173536,1,0.986666666666667
"77","2020","X12-356",50,87,49,88,0.978102189781022,0.952556850975413,0.979591836734694,0.977272727272727
"78","2020","X12-361",43,0,42,1,0.976744186046512,0,1,0
"79","2020","X12-388",44,0,44,0,1,NA,1,NA
"80","2020","X12-519",36,43,35,44,0.987341772151899,0.974425380382001,1,0.977272727272727
"81","2020","X12-588",0,80,0,80,1,NA,NA,1
"82","2020","X12-594",0,76,0,76,1,NA,NA,1
"83","2020","X12-601",84,87,171,168,1,NA,1,NA
"84","2020","X12-602",47,37,46,38,0.964285714285714,0.927752293577982,0.978260869565217,0.947368421052632
"85","2020","X12-615",46,51,46,51,1,1,1,1
"86","2020","X12-624",38,37,46,29,0.893333333333333,0.786019971469329,0.826086956521739,1
"87","2020","X12-633",38,40,27,51,0.858974358974359,0.715705765407555,1,0.784313725490196
"88","2020","X12-635",64,102,55,111,0.897590361445783,0.778039955954066,0.927272727272727,0.882882882882883
"89","2020","X12-642",44,48,43,49,0.989130434782609,0.978199052132701,1,0.979591836734694
"90","2020","X12-661",71,96,67,100,0.964071856287425,0.925953295891221,0.985074626865672,0.95
"91","2020","X12-677",67,0,66,1,0.985074626865672,0,1,0
"92","2020","X12-696",59,75,55,79,0.970149253731343,0.938993853858411,1,0.949367088607595
"93","2020","X12-709",0,70,0,70,1,NA,NA,1
"94","2020","X12-727",0,26,0,26,1,NA,NA,1
"95","2020","X12-83",33,48,34,47,0.987654320987654,0.974552309142318,0.970588235294118,1
"96","2020","X12-91",42,38,41,39,0.9875,0.974968710888611,1,0.974358974358974
"97","2020","X12-99",47,40,46,41,0.988505747126437,0.97690469869923,1,0.975609756097561
