"","gridID","presence","year","predictedValue"
"180","X12-150",0,"2016",0
"181","X12-150",0,"2016",1
"182","X12-150",0,"2016",0
"183","X12-150",0,"2016",0
"184","X12-150",0,"2016",0
"185","X12-150",0,"2016",0
"186","X12-150",0,"2016",0
"187","X12-150",0,"2016",0
"188","X12-150",0,"2016",0
"189","X12-150",0,"2016",0
"190","X12-150",0,"2016",0
"191","X12-150",0,"2016",0
"192","X12-150",0,"2016",0
"193","X12-150",0,"2016",0
"194","X12-150",0,"2016",0
"195","X12-150",0,"2016",0
"196","X12-150",0,"2016",0
"197","X12-150",0,"2016",0
"198","X12-150",0,"2016",0
"199","X12-150",0,"2016",0
"200","X12-150",0,"2016",0
"201","X12-150",0,"2016",0
"202","X12-150",0,"2016",0
"203","X12-150",0,"2016",0
"204","X12-150",0,"2016",0
"205","X12-150",0,"2016",0
"206","X12-150",0,"2016",0
"207","X12-150",0,"2016",0
"208","X12-150",0,"2016",0
"209","X12-150",0,"2016",0
"210","X12-150",0,"2016",0
"211","X12-150",0,"2016",0
"212","X12-150",0,"2016",0
"213","X12-150",0,"2016",0
"214","X12-150",0,"2016",0
"215","X12-150",0,"2016",0
"216","X12-150",0,"2016",0
"217","X12-150",0,"2016",0
"218","X12-150",0,"2016",0
"219","X12-150",0,"2016",0
"220","X12-150",0,"2016",0
"221","X12-150",0,"2016",0
"222","X12-150",0,"2016",0
"223","X12-150",0,"2016",0
"224","X12-150",0,"2016",0
"225","X12-150",0,"2016",0
"226","X12-150",0,"2016",0
"227","X12-150",0,"2016",0
"228","X12-150",0,"2016",0
"229","X12-150",0,"2016",0
"230","X12-150",0,"2016",0
"231","X12-150",0,"2016",0
"232","X12-150",0,"2016",0
"233","X12-150",0,"2016",0
"234","X12-150",0,"2016",0
"235","X12-150",0,"2016",0
"236","X12-183",1,"2016",1
"237","X12-183",1,"2016",1
"238","X12-183",1,"2016",1
"239","X12-183",1,"2016",1
"240","X12-183",1,"2016",1
"241","X12-183",1,"2016",1
"242","X12-183",1,"2016",1
"243","X12-183",1,"2016",1
"244","X12-183",1,"2016",1
"245","X12-183",1,"2016",1
"246","X12-183",1,"2016",1
"247","X12-183",1,"2016",1
"248","X12-183",1,"2016",1
"249","X12-183",1,"2016",1
"250","X12-183",1,"2016",1
"251","X12-183",1,"2016",1
"252","X12-183",1,"2016",1
"253","X12-183",1,"2016",1
"254","X12-183",1,"2016",1
"255","X12-183",1,"2016",1
"256","X12-183",1,"2016",1
"257","X12-183",1,"2016",1
"258","X12-183",1,"2016",1
"259","X12-183",1,"2016",0
"260","X12-183",1,"2016",1
"261","X12-183",1,"2016",1
"262","X12-183",1,"2016",1
"263","X12-183",1,"2016",1
"264","X12-183",1,"2016",1
"265","X12-183",1,"2016",1
"266","X12-183",1,"2016",1
"267","X12-183",1,"2016",1
"268","X12-183",1,"2016",1
"269","X12-183",1,"2016",1
"270","X12-183",1,"2016",1
"271","X12-183",1,"2016",1
"272","X12-183",1,"2016",1
"273","X12-183",1,"2016",1
"274","X12-183",1,"2016",1
"275","X12-183",1,"2016",1
"276","X12-183",1,"2016",1
"277","X12-183",1,"2016",1
